,serial,star_name,distance,mass,radius
0,,,,,
1,2,LHS 102BC,,,
2,,,,,
3,14,2MASS J00034227-2822410,,,
4,,,,,
5,31,2MASS J02511327+0047364,,,
6,,,,,
7,117,TWA 27A,,,
8,,,,,
9,118,TWA 27B,,,
10,,,,,
11,177,2MASS J14112131-2119503,,,
12,,,,,
13,26,2MASS J02103857-3015313,101,15,1.53
14,,,,,
15,129,2MASS J13204427+0409045,101,67,1.01
16,,,,,
17,194,WISE 0038+8405,101.8,,
18,,,,,
19,67,2MASS J06085283-2753583,102,38,1.51
20,,,,,
21,273,WISE 1147-2040,102,,
22,,,,,
23,140,CFBDSIR 1458+10A,104,11.1,1.5
24,,,,,
25,141,CFBDSIR 1458+10B,104,9,1.3
26,,,,,
27,168,2MASS J20004841-7523070,105,25,1.88
28,,,,,
29,215,WISE 0316+4307,106.3,,
30,,,,,
31,314,WISE 1830+4542,107,,
32,,,,,
33,99,2MASSI J1017075+130839 [de],108,,
34,,,,,
35,171,2MASSW J2101154+175658,108,,
36,,,,,
37,288,WISE 1506+7027,11.1,,
38,,,,,
39,157,2MASS J16262034+3925190 [de],110,71,1.03
40,,,,,
41,25,SDSS J020742.48+000056.2 [de],111,47,0.97
42,,,,,
43,350,WISEA 1101+5400,111,,
44,,,,,
45,174,HB 2124-4228,113,94,1.21
46,,,,,
47,161,2MASSI J1726000+153819,114,24,1.4
48,,,,,
49,124,2MASSW J1239272+551537 [de],119,,
50,,,,,
51,32,Teegarden's star,12.578,80,1.27
52,,,,,
53,351,2M1510,120,,
54,,,,,
55,115,2MASS J11544223-3400390 [de],129,37,1.5
56,,,,,
57,104,DEN 1048-3956,13.15,77,1.07
58,,,,,
59,75,UGPS J072227.51-054031.2,13.4,26,0.98
60,,,,,
61,20,2MASS J01415823-4633574 [de],130,20,1.61
62,,,,,
63,48,DENIS-P J035726.9-441730 [de],130,,
64,,,,,
65,8,2MASS J00332386-1521309 [de],131,29,1.43
66,,,,,
67,315,WISE 1841+7000,131.1,,
68,,,,,
69,113,TWA 26,137,30,2.2
70,,,,,
71,166,2MASSW J1841086+311727,138,67,1.01
72,,,,,
73,53,2MASS J04362788-4114465,142,39,1.97
74,,,,,
75,198,WISE 0106+1518,142.9,,
76,,,,,
77,4,2MASS J00250365+4759191AB,143,,
78,,,,,
79,185,2MASS J23225299-6151275,148,17,1.59
80,,,,,
81,134,SDSS J141659.78+500626.4 [de],149,59,0.99
82,,,,,
83,28,2MASS J02411151-0326587 [de],152,27,1.41
84,,,,,
85,179,2MASSW J2208136+292121,154,27,1.41
86,,,,,
87,27,2MASS J02340093-6442068,155,20,1.62
88,,,,,
89,82,DENIS J081730.0-615520,16.1,44,0.94
90,,,,,
91,35,DEN 0255-4700,16.2,80,0.97
92,,,,,
93,299,WISE 1639-6847,16.3,,
94,,,,,
95,19,2MASSI J0117474-340325 [de],163,20,1.62
96,,,,,
97,109,Cha 110913-773444,163,8,1.8
98,,,,,
99,95,2MASS 0939−2448,17.4,32,0.95
100,,,,,
101,223,WISE 0350-5658,17.7,,
102,,,,,
103,112,2MASS J11145133−2618235,18.2,33,0.96
104,,,,,
105,165,LSR J1835+3259,18.5,77,1.07
106,,,,,
107,49,2MASS J04151954−0935066,18.6,30,0.95
108,,,,,
109,307,WISE 1741+2553,18.9,,
110,,,,,
